epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,105.189,0.7886,0.91793,1.23294,0.67561,0.67102,0.69624,0.40847,1.60979,1.68612,1.39902,2.99772e-05,2.99772e-05,2.99772e-05
55,107.214,0.80867,0.94722,1.12642,0.67561,0.67102,0.69624,0.40847,1.60979,1.68612,1.39902,2.99066e-05,2.99066e-05,2.99066e-05
56,109.147,1.12818,1.46649,1.59944,0.67561,0.67102,0.69624,0.40847,1.60979,1.68612,1.39902,2.98125e-05,2.98125e-05,2.98125e-05
57,111.218,0.93519,1.48679,1.36998,0.73113,0.5,0.69609,0.40874,1.62046,1.71191,1.40626,2.96948e-05,2.96948e-05,2.96948e-05
58,113.191,0.86872,1.46682,1.27025,0.73113,0.5,0.69609,0.40874,1.62046,1.71191,1.40626,2.95535e-05,2.95535e-05,2.95535e-05
59,115.139,0.78672,0.82322,1.1561,0.73113,0.5,0.69609,0.40874,1.62046,1.71191,1.40626,2.93887e-05,2.93887e-05,2.93887e-05
60,117.216,0.99237,0.78209,1.54144,0.73496,0.5,0.67963,0.39018,1.65176,1.79352,1.42453,2.92003e-05,2.92003e-05,2.92003e-05
61,119.229,0.63315,0.68513,1.06273,0.73496,0.5,0.67963,0.39018,1.65176,1.79352,1.42453,2.89884e-05,2.89884e-05,2.89884e-05
62,121.248,0.70588,0.8973,1.04825,0.73496,0.5,0.67963,0.39018,1.65176,1.79352,1.42453,2.87529e-05,2.87529e-05,2.87529e-05
63,123.286,0.76254,0.82396,1.14793,0.84129,0.48765,0.68057,0.37483,1.65022,1.85853,1.4269,2.84938e-05,2.84938e-05,2.84938e-05
64,125.38,0.62877,0.65368,1.0671,0.84129,0.48765,0.68057,0.37483,1.65022,1.85853,1.4269,2.82112e-05,2.82112e-05,2.82112e-05
65,127.382,0.66948,0.6997,1.22235,0.84129,0.48765,0.68057,0.37483,1.65022,1.85853,1.4269,2.7905e-05,2.7905e-05,2.7905e-05
66,129.494,0.68621,0.91753,1.08156,0.85167,0.47339,0.67904,0.38865,1.67026,1.86906,1.43471,2.75753e-05,2.75753e-05,2.75753e-05
67,131.488,0.74029,1.12615,1.10822,0.85167,0.47339,0.67904,0.38865,1.67026,1.86906,1.43471,2.7222e-05,2.7222e-05,2.7222e-05
68,133.498,1.05838,1.81893,1.42058,0.85167,0.47339,0.67904,0.38865,1.67026,1.86906,1.43471,2.68451e-05,2.68451e-05,2.68451e-05
69,135.577,0.62889,1.08368,1.11962,0.84685,0.47132,0.56994,0.29658,1.66402,1.90863,1.42374,2.64447e-05,2.64447e-05,2.64447e-05
70,136.081,0.98576,0.88533,1.43074,0.84685,0.47132,0.56994,0.29658,1.66402,1.90863,1.42374,2.60207e-05,2.60207e-05,2.60207e-05
71,138.391,0.9508,1.31699,1.31554,0.84685,0.47132,0.56994,0.29658,1.66402,1.90863,1.42374,2.55731e-05,2.55731e-05,2.55731e-05
72,140.469,0.59626,0.64286,1.07844,0.84803,0.46488,0.53888,0.27123,1.69005,1.93715,1.43201,2.5102e-05,2.5102e-05,2.5102e-05
73,142.521,0.68709,0.90333,1.04614,0.84803,0.46488,0.53888,0.27123,1.69005,1.93715,1.43201,2.46073e-05,2.46073e-05,2.46073e-05
74,144.677,0.72796,0.59156,1.20674,0.84803,0.46488,0.53888,0.27123,1.69005,1.93715,1.43201,2.40891e-05,2.40891e-05,2.40891e-05
